Begriff,Definition,UUID
Rollen und Berechtigungen,"Rollen und Berechtigungen beschreibt Verfahren und Regelungen zum Thema ""Rollen und Berechtigungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Authentifizierung und nachgelagerten Aspekten wie Schutz vor Schadcode. Schwerpunkte sind u. a.: Minimal erforderliche Berechtigungen für Anwendungen; Gemeinsam genutzte Verzeichnisse; Kiosk-Modus.",2bad4a78-2487-4d7d-838b-8a47addae235
Rücknahme von Assets,"Rücknahme von Assets beschreibt Verfahren und Regelungen zum Thema ""Rücknahme von Assets"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Wartung und nachgelagerten Aspekten wie Löschen und Vernichten. Schwerpunkte sind u. a.: Abhandenkommen; Rückkehr abhandengekommener Assets; Konformitätsprüfung.",0dc994d9-6c58-4fd3-9487-1c9a74b0752f
Schlüsselverwaltung,"Schlüsselverwaltung beschreibt Verfahren und Regelungen zum Thema ""Schlüsselverwaltung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Platzierung von Assets und nachgelagerten Aspekten wie Verwahrung von Speichermedien. Schwerpunkte sind u. a.: Schlüsselbeauftragte; Verwahrung von Schlüsseln; Schlüsselaudit.",9d651c54-5613-407c-a035-abe0039cf0fe
Schutz vor Elementarschäden,"Schutz vor Elementarschäden beschreibt Verfahren und Regelungen zum Thema ""Schutz vor Elementarschäden"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Versorgungseinrichtungen. Schwerpunkte sind u. a.: Brandschutz; Wasserschutz; Blitzschutzeinrichtungen.",cbe8a318-2d67-4edc-a3d6-b892498b111b
Schutz vor Schadcode,"Schutz vor Schadcode beschreibt Verfahren und Regelungen zum Thema ""Schutz vor Schadcode"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Rollen und Berechtigungen und nachgelagerten Aspekten wie Sicherheitsupdates. Schwerpunkte sind u. a.: Echtzeitscanner; Regelmäßige Scans; Host-basierte Angriffserkennung.",cf654423-ecec-43a5-98aa-b1af0a023e17
Senden und Empfangen von Nachrichten,"Senden und Empfangen von Nachrichten beschreibt Verfahren und Regelungen zum Thema ""Senden und Empfangen von Nachrichten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Kontrollierte Datenverarbeitung und nachgelagerten Aspekten wie Verteilte Anwendungen. Schwerpunkte sind u. a.: Filtern schädlicher Nachrichten; Authentizität von Nachrichten; Kryptographische Signatur des Mailservers.",268f6bca-9550-461a-85a5-7da7908fb95c
Sensibilisierung der Leitungsebene,"Sensibilisierung der Leitungsebene beschreibt Verfahren und Regelungen zum Thema ""Sensibilisierung der Leitungsebene"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Administration und nachgelagerten Aspekten wie Spezifische Risiken. Schwerpunkte sind u. a.: Sensibilisierung der Institutionsleitung; Führen als Vorbild; Whaling.",0c5e4691-4fe6-42a1-b809-4b326c292b67
Sicherheitsbereiche,"Sicherheitsbereiche beschreibt Verfahren und Regelungen zum Thema ""Sicherheitsbereiche"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umwelteinflüsse und nachgelagerten Aspekten wie Gemeinsame Arbeitsbereiche. Schwerpunkte sind u. a.: Einrichtung; Gesonderte Autorisierung; Schleusen.",6879281b-85d6-4289-a073-1d65d1b069a5
Sicherheitsupdates,"Sicherheitsupdates beschreibt Verfahren und Regelungen zum Thema ""Sicherheitsupdates"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Schutz vor Schadcode und nachgelagerten Aspekten wie Verfügbarkeit von Ressourcen. Schwerpunkte sind u. a.: Automatische Überprüfung; Automatische Updates der Anwendung.",2ffa8a76-c30b-47a2-b2d3-8cfd9c397795
Softwareentwicklung - Code,"Softwareentwicklung - Code beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Code"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Softwareentwicklung - Härtung und nachgelagerten Aspekten wie Softwareentwicklung - Updates. Schwerpunkte sind u. a.: Nutzerinformation bei kritischen Ereignissen; Bibliotheksquellen; SBOM.",788c2014-fff2-45f3-97c4-46f56ece2a1b
Softwareentwicklung - Härtung,"Softwareentwicklung - Härtung beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Härtung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Softwareentwicklung - Security by Design und nachgelagerten Aspekten wie Softwareentwicklung - Code. Schwerpunkte sind u. a.: Replay-Angriffe; Routinen zur Fehlerbehandlung; Deaktivierung der Ausgabe schützenswerter Daten durch Fehlermeldungen.",dad9060e-baa4-4044-9ec0-796714c4fbd5
Softwareentwicklung - Security by Design,"Softwareentwicklung - Security by Design beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Security by Design"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Softwareentwicklung - Härtung. Schwerpunkte sind u. a.: Architektur nach dem Prinzip ""Security by Design""; Dokumentation der (Software-)Architektur; Ausführbarkeit mit minimalen Rechten.",4be7dbf9-f9b9-4f79-8315-41cc9bd14030
Softwareentwicklung - Updates,"Softwareentwicklung - Updates beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Updates"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Softwareentwicklung - Code und nachgelagerten Aspekten wie Freigabe. Schwerpunkte sind u. a.: Verankerung des Zeitraums für Updates; Information über Zeitraum für Updates; Integritätsprüfung.",accbabf3-e91b-4f5c-a1e3-7109c1971a6b
Tests,"Tests beschreibt Verfahren und Regelungen zum Thema ""Tests"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Vorbereitung und nachgelagerten Aspekten wie Freigabe. Schwerpunkte sind u. a.: Sicherheitstest; Testabdeckung.",b672005f-aa77-4dd4-9cb4-c5c1b1736b2a
Überwachung von Aktivitäten,"Überwachung von Aktivitäten beschreibt Verfahren und Regelungen zum Thema ""Überwachung von Aktivitäten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Protokollierung und nachgelagerten Aspekten wie Management von Schwachstellen. Schwerpunkte sind u. a.: Überwachung der Protokollierung; Automatische Angriffserkennung; Überwachung der Angriffserkennung.",d1295ff6-7958-42f2-9e5e-987b0ed117dc
Umwelteinflüsse,"Umwelteinflüsse beschreibt Verfahren und Regelungen zum Thema ""Umwelteinflüsse"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Physischer Zutritt und nachgelagerten Aspekten wie Sicherheitsbereiche. Schwerpunkte sind u. a.: Klimatisierung.",18764ff5-c076-431a-9e45-f69431a758f3
Verfügbarkeit von Ressourcen,"Verfügbarkeit von Ressourcen beschreibt Verfahren und Regelungen zum Thema ""Verfügbarkeit von Ressourcen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Sicherheitsupdates und nachgelagerten Aspekten wie Konfiguration von Anwendungen. Schwerpunkte sind u. a.: Speicherplatzbegrenzung; Begrenzung der Rechenleistung; Alternative Komponenten für kritische Funktionen.",100e91f0-6096-4663-98e5-1667ca9c2849
Versorgungseinrichtungen,"Versorgungseinrichtungen beschreibt Verfahren und Regelungen zum Thema ""Versorgungseinrichtungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Verwahrung von Speichermedien und nachgelagerten Aspekten wie Schutz vor Elementarschäden. Schwerpunkte sind u. a.: Normgerechte Stromversorgung; Lasttest; Notaus.",846b6374-b374-4f2f-8088-84695b2bcb05
Verwahrung von Speichermedien,"Verwahrung von Speichermedien beschreibt Verfahren und Regelungen zum Thema ""Verwahrung von Speichermedien"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Schlüsselverwaltung und nachgelagerten Aspekten wie Versorgungseinrichtungen. Schwerpunkte sind u. a.: Gesonderte Aufbewahrung; Staub und Schmutz; Schutz der Datenträger vor Brandschäden.",bce6496a-7e16-411d-84ab-ee463207689e
Verteilte Anwendungen,"Verteilte Anwendungen beschreibt Verfahren und Regelungen zum Thema ""Verteilte Anwendungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Senden und Empfangen von Nachrichten und nachgelagerten Aspekten wie Ressourcenauslastung. Schwerpunkte sind u. a.: Verschlüsselung beim Transport; Source Port Randomisierung; Iterative Beantwortung.",383c6331-8231-46b9-9605-1338add3335e
Vertrauensbeziehungen,"Vertrauensbeziehungen beschreibt Verfahren und Regelungen zum Thema ""Vertrauensbeziehungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Konfiguration von Anwendungen und nachgelagerten Aspekten wie Kontrollierte Datenverarbeitung. Schwerpunkte sind u. a.: Authentifizierung vor dem Zugriff; Warteraum; Alternative Authentifizierung.",29f77df2-4ae6-4bdf-8d1a-41c7a6ca2710
Vertrauenswürdige Basisdienste,"Vertrauenswürdige Basisdienste beschreibt Verfahren und Regelungen zum Thema ""Vertrauenswürdige Basisdienste"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Physischer Schutz und nachgelagerten Aspekten wie Authentifizierung. Schwerpunkte sind u. a.: Anbindung an Verzeichnisdienst; DNS-Anbindung; Authentifizierung von Fernwartungsfunktionen.",9d2b99f4-e2fd-4586-9389-5b8d47a5602a
Vertraulichkeit und Integrität im Weitverkehrsnetz,"Vertraulichkeit und Integrität im Weitverkehrsnetz beschreibt Verfahren und Regelungen zum Thema ""Vertraulichkeit und Integrität im Weitverkehrsnetz"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Perimeterschutz und nachgelagerten Aspekten wie Dedizierte Systeme. Schwerpunkte sind u. a.: Kontrollierte Verbindungsführung; Verschlüsselung von Weiterverkehrsverbindungen.",074c7160-e467-4ad7-9625-7ae1327982a4
Vorbereitung,"Vorbereitung beschreibt Verfahren und Regelungen zum Thema ""Vorbereitung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Tests. Schwerpunkte sind u. a.: Versionshistorie; Folgenabschätzung.",04395293-6d5e-46e8-bc4b-d1ce49d08c7d
Vorfallserkennung,"Vorfallserkennung beschreibt Verfahren und Regelungen zum Thema ""Vorfallserkennung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Management von Schwachstellen. Schwerpunkte sind u. a.: Beurteilung von Ereignissen; Beurteilung  von Eingängen.",2bad125b-a136-415f-b72f-47c999fe16e8
Wahrung von Compliance,"Wahrung von Compliance beschreibt Verfahren und Regelungen zum Thema ""Wahrung von Compliance"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von nachgelagerten Aspekten wie Prozesse des ISMS. Schwerpunkte sind u. a.: Behandlung von Verstößen.",25bf8b0f-c188-43d6-9944-aa8a74a24f4e
Wartung,"Wartung beschreibt Verfahren und Regelungen zum Thema ""Wartung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Regelungen zum Transfer und nachgelagerten Aspekten wie Rücknahme von Assets. Schwerpunkte sind u. a.: Geregelte Wartungen; Präventive Wartung; Autorisierung von Wartungen.",ea4483ce-48a6-4404-b7f7-cb897cbd9fcb
Weggang von Mitarbeitenden,"Weggang von Mitarbeitenden beschreibt Verfahren und Regelungen zum Thema ""Weggang von Mitarbeitenden"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Personalbetreuung. Schwerpunkte sind u. a.: Weggang.",49a39d78-bee2-4cef-bb4f-c77da99b8467
Wireless LAN,"Wireless LAN beschreibt Verfahren und Regelungen zum Thema ""Wireless LAN"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Netzdesign und nachgelagerten Aspekten wie Zugangsbeschränkungen. Schwerpunkte sind u. a.: Netzabdeckung; Einschränkung in Sicherheitsbereichen; SSIDs.",3aec9759-e015-4571-84b0-9eeac4833a62
Zugangsbeschränkungen,"Zugangsbeschränkungen beschreibt Verfahren und Regelungen zum Thema ""Zugangsbeschränkungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Wireless LAN und nachgelagerten Aspekten wie Perimeterschutz. Schwerpunkte sind u. a.: Netzzugangskontrolle; Autorisiertes Routing; Authentifizierung von Routingprotokollen.",c2d727b8-fcd4-46d5-a64b-b3901ea738d8
Zugangskonten,"Zugangskonten beschreibt Verfahren und Regelungen zum Thema ""Zugangskonten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Identitätsmanagement und nachgelagerten Aspekten wie Berechtigungsmanagement. Schwerpunkte sind u. a.: Zentrales Management; Einschränkung des Managements; Protokollierung von Änderungen.",2d8f7753-5bd5-42d3-8e26-1ef4582da9ea
Umgang mit Informationen,Umgang mit Informationen enthält Verfahren und Regelungen die bei der Verarbeitung von Informationen zu beachten sind. Es grenzt sich ab von vorgelagerten Aspekten wie der Authentisierung zum Zugriff. Dabei stehen die Daten selbst im Zentrum und nicht der Umgang mit Systemen oder Datenträgern als Ganzes. Schwerpunkte sind u. a.: die Weitergabe von Informationen oder die Frage welche Daten wo abzulegen sind.,0ff0f2da-afe5-49eb-825b-59c101cb39c0
Schutz vor Schadprogrammen,"Schutz vor Schadprogrammen beschreibt Verfahren und Regelungen zum Thema ""Schutz vor Schadprogrammen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlegende Sensibilisierung und nachgelagerten Aspekten wie Authentisierung. Schwerpunkte sind u. a.: Schadprogramme; Öffnen verdächtiger Dateien; Umwandeln verdächtiger Dateien.",f580d6e8-61d4-4a7f-8552-d99586634099
Umgang mit Datenträgern,"Umgang mit Datenträgern beschreibt Verfahren und Regelungen zum Thema ""Umgang mit Datenträgern"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umgang mit Informationen und nachgelagerten Aspekten wie Umgang mit spezifischen Zielobjekten. Schwerpunkte sind u. a.: Scan angenommener Wechseldatenträger; Verschlüsselung.",44a2f01e-7bc2-4530-aa6f-edd721cb4cd9
Umgang mit spezifischen Zielobjekten,"Umgang mit spezifischen Zielobjekten beschreibt Verfahren und Regelungen zum Thema ""Umgang mit spezifischen Zielobjekten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umgang mit Datenträgern und nachgelagerten Aspekten wie Physische Sicherheit. Schwerpunkte sind u. a.: Spezifische Sensibilisierung; Virenscan; Automatische Antworten.",364dfb41-a2c3-439e-8e80-a65d7ff4a41e
Spezifische Risiken,"Spezifische Risiken beschreibt Verfahren und Regelungen zum Thema ""Spezifische Risiken"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Sensibilisierung der Leitungsebene. Schwerpunkte sind u. a.: Hohe Risiken.",460a3e0b-2a34-4a3f-bfc0-28edca90fa14
Informationssicherheitsanalyse,"Informationssicherheitsanalyse beschreibt Verfahren und Regelungen zum Thema ""Informationssicherheitsanalyse"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von nachgelagerten Aspekten wie Blaupausen. Schwerpunkte sind u. a.: Vorgehensweise Identifikation des Schutzbedarfs.",b1fdc1bd-8928-42f4-89b7-4706cae3a92e
Asset Management,"Asset Management beschreibt Verfahren und Regelungen zum Thema ""Asset Management"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Zielobjektklassen und nachgelagerten Aspekten wie Modellierung. Schwerpunkte sind u. a.: Identifikation der Assets der Prozesse mit erhöhtem Schutzbedarf.",0dfe93dc-7921-4aaa-973a-f8df95f4eb91
Kontext,"Kontext beschreibt Verfahren und Regelungen zum Thema ""Kontext"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Informationsverbund. Schwerpunkte sind u. a.: Analyse des Kontextes der Institution; Analyse der interessierten Parteien; Verfahren und Regelungen.",aff59914-e098-49c1-a577-ddb1709faea1
Sicherheitsorganisation,"Sicherheitsorganisation beschreibt Verfahren und Regelungen zum Thema ""Sicherheitsorganisation"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Informationsverbund und nachgelagerten Aspekten wie Leitlinie. Schwerpunkte sind u. a.: Festlegung von Rollen und Zuständigkeiten; Vermeidung von Interessenskonflikten; Festlegen einer Sicherheitsorganisation.",8e8ec28c-bb3a-4779-b687-2f72805287c9
Leitlinie,"Leitlinie beschreibt Verfahren und Regelungen zum Thema ""Leitlinie"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Sicherheitsorganisation und nachgelagerten Aspekten wie Kommunikation. Schwerpunkte sind u. a.: Festlegen von Zielen für die Informationssicherheit; Verpflichtung der obersten Leitung; Erstellung einer Leitlinie.",e64ce6d9-47bb-4d0f-a3f7-f0a7ef2ae322
Kommunikation,"Kommunikation beschreibt Verfahren und Regelungen zum Thema ""Kommunikation"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Leitlinie und nachgelagerten Aspekten wie Vorgehensweisen. Schwerpunkte sind u. a.: Festlegung der Kommunikation; Kommunikation im Projektmanagement.",7bb4c407-7349-4406-a76a-254ab61fdd82
Vorgehensweisen,"Vorgehensweisen beschreibt Verfahren und Regelungen zum Thema ""Vorgehensweisen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Kommunikation und nachgelagerten Aspekten wie Ressourcen. Schwerpunkte sind u. a.: Festlegen von Vorgehensweisen; Freigabe von Vorgehensweisen; Freigabe des Managementberichtes.",b8e31b3c-d8d0-483a-9b7f-3550c236a557
Ressourcen,"Ressourcen beschreibt Verfahren und Regelungen zum Thema ""Ressourcen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Vorgehensweisen und nachgelagerten Aspekten wie Dokumentenlenkung. Schwerpunkte sind u. a.: Verfahren zur Ressourcenplanung.",8e40113a-4d9b-42cf-bde0-6ade0cd62fc0
Dokumentenlenkung,"Dokumentenlenkung beschreibt Verfahren und Regelungen zum Thema ""Dokumentenlenkung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Ressourcen. Schwerpunkte sind u. a.: Richtlinie zur Dokumentenlenkung.",2a1f43b4-7af1-4c17-b17b-2285facd4050
Blaupausen,"Blaupausen beschreibt Verfahren und Regelungen zum Thema ""Blaupausen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Monitoring. Schwerpunkte sind u. a.: Verifikation der Blaupausen.",9b97ec49-f397-4ae6-b843-82a7350635ba
Anforderungen,"Anforderungen beschreibt Verfahren und Regelungen zum Thema ""Anforderungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Modellierung und nachgelagerten Aspekten wie Vereinfachte Risikobewertung. Schwerpunkte sind u. a.: Gesetzliche Verpflichtungen integrieren; Vertragliche Verpflichtungen integrieren.",288dd287-7435-4d14-b047-fdd20efe9ecf
Vereinfachte Risikobewertung,"Vereinfachte Risikobewertung beschreibt Verfahren und Regelungen zum Thema ""Vereinfachte Risikobewertung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Anforderungen und nachgelagerten Aspekten wie Vertiefende Risikoanalyse. Schwerpunkte sind u. a.: Durchführung einer vereinfachten Risikobewertung.",a2dcf0a0-aeb4-47c8-9eed-c988aa442b75
Audits,"Audits beschreibt Verfahren und Regelungen zum Thema ""Audits"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Prozesse des ISMS und nachgelagerten Aspekten wie Managementbewertungen. Schwerpunkte sind u. a.: Aufbau und Pflege eines Auditprogramms; Planen von internen Audits; Auswahl des Auditteams.",ea72fb54-d3ca-4d6b-b4bd-2e6a752b5154
Monitoring,"Monitoring beschreibt Verfahren und Regelungen zum Thema ""Monitoring"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Managementbewertungen und nachgelagerten Aspekten wie Blaupausen. Schwerpunkte sind u. a.: Sicherheitsvorfälle; Schwachstellen; Risiken.",2c058ca3-9b33-4e0d-a752-d364fd7fc8d7
Umsetzungscheck,"Umsetzungscheck beschreibt Verfahren und Regelungen zum Thema ""Umsetzungscheck"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Wahrung von Compliance und nachgelagerten Aspekten wie Restrisikobewertung. Schwerpunkte sind u. a.: Überprüfung des Umsetzungsstatus.",62547bd3-e0bf-4a16-926c-b4d4793529be
Restrisikobewertung,"Restrisikobewertung beschreibt Verfahren und Regelungen zum Thema ""Restrisikobewertung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umsetzungscheck und nachgelagerten Aspekten wie Realisierungsplan. Schwerpunkte sind u. a.: Bewertung des Restrisikos.",c53e7f97-df47-4016-ad2f-947e87c2804b
Umsetzungsplanung,"Umsetzungsplanung beschreibt Verfahren und Regelungen zum Thema ""Umsetzungsplanung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Maßnahmen und nachgelagerten Aspekten wie Bewertung. Schwerpunkte sind u. a.: Priorisierung von Maßnahmen.",ee30f5b7-1cec-428d-b2f2-ebb65f8e972c
Fortschrittsverfolgung,"Fortschrittsverfolgung beschreibt Verfahren und Regelungen zum Thema ""Fortschrittsverfolgung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Freigabeverfahren. Schwerpunkte sind u. a.: Nachverfolgung des Umsetzungsfortschritts; Wirksamkeitsprüfung der Umsetzung; Fortschreibung des Umsetzungsplans.",42250730-6931-4747-829a-bc295e151a56
Maßnahmen,"Maßnahmen beschreibt Verfahren und Regelungen zum Thema ""Maßnahmen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Prozesse des ISMS und nachgelagerten Aspekten wie Umsetzungsplanung. Schwerpunkte sind u. a.: Korrekturmaßnahmen; Verbesserungsmaßnahmen.",6a5aaff1-7444-45e1-8762-25feec2fcf62
Bewertung,"Bewertung beschreibt Verfahren und Regelungen zum Thema ""Bewertung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umsetzungsplanung. Schwerpunkte sind u. a.: Bewertung der erreichten Verbesserung.",5f0172bd-0f97-41a4-8c2a-ad544dbcd7d9
Vertiefende Risikoanalyse,"Vertiefende Risikoanalyse beschreibt Verfahren und Regelungen zum Thema ""Vertiefende Risikoanalyse"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Vereinfachte Risikobewertung. Schwerpunkte sind u. a.: Durchführung von Risikoanalysen; Freigabe der Risikobehandlung; Konsolidierung der ergänzenden Anforderungen.",2c10b9fd-784d-4df7-b60d-d22ee6b03904
